Wind_Speed_10m_kmh,Humidity_Percent,Temp_2m_C
740.0,740.0,740.0
8.747432432432433,71.51486486486486,19.259054054054054
5.49461849178442,23.593789362106413,8.674591498716504
0.0,17.0,4.9
4.3,51.0,12.075
7.7,80.0,17.4
13.4,92.0,27.6
26.0,100.0,41.2
