City,month_period,PM2_5_ugm3
Agartala,2022-08,16.39861111111111
Agartala,2022-09,22.56361111111111
Agartala,2022-10,37.30147849462365
Agartala,2022-11,52.94222222222223
Agartala,2022-12,69.16465053763442
Agartala,2023-01,91.31653225806451
Agartala,2023-02,70.20342261904761
Agartala,2023-03,59.12284946236559
Agartala,2023-04,55.55763888888889
Agartala,2023-05,40.792069892473116
Agartala,2023-06,27.1625
Agartala,2023-07,10.851747311827957
Agartala,2023-08,22.207123655913975
Agartala,2023-09,19.062083333333334
Agartala,2023-10,38.19206989247312
Agartala,2023-11,35.33555555555555
Agartala,2023-12,41.949999999999996
Agartala,2024-01,68.10053763440861
Agartala,2024-02,63.083333333333336
Agartala,2024-03,49.21599462365591
Agartala,2024-04,42.41111111111111
Agartala,2024-05,34.405913978494624
Agartala,2024-06,20.891666666666666
Agartala,2024-07,10.363575268817204
Agartala,2024-08,10.20497311827957
Agartala,2024-09,21.28625
Agartala,2024-10,42.623790322580646
Agartala,2024-11,52.16722222222222
Agartala,2024-12,74.55846774193549
Agartala,2025-01,92.63602150537633
Agartala,2025-02,84.61979166666667
Agartala,2025-03,56.751612903225805
Agartala,2025-04,37.62111111111111
Agartala,2025-05,31.97043010752688
Agartala,2025-06,18.414583333333333
Agartala,2025-07,14.096908602150538
Agartala,2025-08,14.04005376344086
Agartala,2025-09,20.202222222222222
Agartala,2025-10,34.90483870967742
Agartala,2025-11,49.090384615384615
Ahmedabad,2022-08,21.121913580246915
Ahmedabad,2022-09,30.445416666666667
Ahmedabad,2022-10,43.84650537634408
Ahmedabad,2022-11,54.29986111111111
Ahmedabad,2022-12,45.4494623655914
Ahmedabad,2023-01,52.27029569892473
Ahmedabad,2023-02,35.78139880952381
Ahmedabad,2023-03,34.91572580645161
Ahmedabad,2023-04,23.13347222222222
Ahmedabad,2023-05,18.5005376344086
Ahmedabad,2023-06,14.639444444444443
Ahmedabad,2023-07,17.02983870967742
Ahmedabad,2023-08,16.879973118279572
Ahmedabad,2023-09,20.026944444444442
Ahmedabad,2023-10,39.203629032258064
Ahmedabad,2023-11,49.92458333333333
Ahmedabad,2023-12,40.76505376344086
Ahmedabad,2024-01,39.207661290322584
Ahmedabad,2024-02,30.42887931034483
Ahmedabad,2024-03,21.050806451612903
Ahmedabad,2024-04,21.8475
Ahmedabad,2024-05,18.77056451612903
Ahmedabad,2024-06,19.671666666666667
Ahmedabad,2024-07,18.724193548387095
Ahmedabad,2024-08,15.249462365591398
Ahmedabad,2024-09,21.05638888888889
Ahmedabad,2024-10,40.288440860215054
Ahmedabad,2024-11,48.776944444444446
Ahmedabad,2024-12,47.93024193548387
Ahmedabad,2025-01,40.7747311827957
Ahmedabad,2025-02,27.389285714285712
Ahmedabad,2025-03,19.768682795698926
Ahmedabad,2025-04,16.75513888888889
Ahmedabad,2025-05,23.954435483870967
Ahmedabad,2025-06,20.920833333333334
Ahmedabad,2025-07,21.67043010752688
Ahmedabad,2025-08,20.231182795698924
Ahmedabad,2025-09,20.752777777777776
Ahmedabad,2025-10,36.11545698924731
Ahmedabad,2025-11,49.75625
