missing_count,missing_ratio
842160,1.0
842160,1.0
842160,1.0
842160,1.0
842160,1.0
842160,1.0
842160,1.0
842160,1.0
4872,0.005785123966942148
2516,0.0029875558088724233
696,0.0008264462809917355
667,0.0007920110192837466
667,0.0007920110192837466
667,0.0007920110192837466
145,0.0001721763085399449
145,0.0001721763085399449
145,0.0001721763085399449
145,0.0001721763085399449
145,0.0001721763085399449
145,0.0001721763085399449
73,8.668186567873088e-05
29,3.443526170798898e-05
2,2.3748456350337227e-06
2,2.3748456350337227e-06
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
