Season,low_wind,high_humidity,pm25_avg,severe_probability
Monsoon,False,False,27.149616612174995,0.00031138097462245055
Monsoon,False,True,20.043403820271248,1.9411947406563826e-05
Monsoon,True,False,28.365603951504266,0.0001122586439155815
Monsoon,True,True,20.920298597496608,0.0
Post_Monsoon,False,False,44.792176580529826,0.0004063058670567203
Post_Monsoon,False,True,41.74344198267292,0.0006391137622496804
Post_Monsoon,True,False,41.38397432632062,0.000407518720391218
Post_Monsoon,True,True,33.88425114078888,0.0005255990634780324
Summer,False,False,35.37135870677307,0.002076938817270309
Summer,False,True,30.334563515558187,0.00024121220095169176
Summer,True,False,37.539041687502845,0.00040914670182297586
Summer,True,True,31.312520556136942,0.0002616235610704141
Winter,False,False,42.83387633735488,0.0004125882085135443
Winter,False,True,62.073635575589456,0.003554091539528433
Winter,True,False,40.9499102199611,0.0003740834954361814
Winter,True,True,55.12414789479892,0.0047175374454534735
